elapsed,temp_phy0,temp_phy1,tx_mbps,rx_mbps,total_mbps
528.6,67.0,67.0,0.0,0.0,0.0
529.6,67.0,67.0,0.0,0.0,0.0
530.7,67.0,67.0,0.0,0.0,0.0
531.7,67.0,67.0,0.0,0.0,0.0
532.8,67.0,67.0,0.0,0.0,0.0
533.9,67.0,67.0,0.0,0.0,0.0
534.9,67.0,67.0,0.0,0.0,0.0
536.0,67.0,67.0,0.0,0.0,0.0
537.0,67.0,67.0,0.0,0.0,0.0
538.1,67.0,67.0,0.0,0.0,0.0
539.2,67.0,67.0,0.0,0.0,0.0
540.2,67.0,67.0,0.0,0.0,0.0
541.3,67.0,67.0,0.0,0.0,0.0
542.3,67.0,67.0,0.0,0.0,0.0
543.4,67.0,67.0,0.0,0.0,0.0
544.5,67.0,67.0,0.0,0.0,0.0
545.5,67.0,67.0,0.0,0.0,0.0
546.6,67.0,67.0,0.0,0.0,0.0
547.6,67.0,67.0,0.0,0.0,0.0
548.7,67.0,67.0,0.0,0.0,0.0
549.8,67.0,67.0,0.0,0.0,0.0
550.8,67.0,67.0,0.0,0.0,0.0
551.9,67.0,67.0,0.0,0.0,0.0
552.9,67.0,67.0,0.0,0.0,0.0
554.0,67.0,67.0,0.0,0.0,0.0
555.1,67.0,67.0,0.0,0.0,0.0
556.1,67.0,67.0,0.0,0.0,0.0
557.2,67.0,67.0,0.0,0.0,0.0
558.2,67.0,67.0,0.0,0.0,0.0
559.3,67.0,67.0,0.0,0.0,0.0
560.4,67.0,67.0,0.0,0.0,0.0
561.4,67.0,67.0,0.0,0.0,0.0
562.5,67.0,67.0,0.0,0.0,0.0
563.5,67.0,67.0,0.0,0.0,0.0
564.6,67.0,67.0,0.0,0.0,0.0
565.7,67.0,67.0,0.0,0.0,0.0
566.7,67.0,67.0,0.0,0.0,0.0
567.8,67.0,67.0,0.0,0.0,0.0
568.8,67.0,67.0,0.0,0.0,0.0
569.9,67.0,67.0,0.0,0.0,0.0
571.0,67.0,67.0,0.0,0.0,0.0
572.0,67.0,67.0,0.0,0.0,0.0
573.1,67.0,67.0,0.0,0.0,0.0
574.2,67.0,67.0,0.0,0.0,0.0
575.2,67.0,67.0,0.0,0.0,0.0
576.3,67.0,67.0,0.0,0.0,0.0
577.3,67.0,67.0,0.0,0.0,0.0
578.4,67.0,67.0,0.0,0.0,0.0
579.5,67.0,67.0,0.0,0.0,0.0
580.5,67.0,67.0,0.0,0.0,0.0
581.6,67.0,67.0,0.0,0.0,0.0
582.6,67.0,67.0,0.0,0.0,0.0
583.7,67.0,67.0,0.0,0.0,0.0
584.8,67.0,67.0,0.0,0.0,0.0
585.8,67.0,67.0,0.0,0.0,0.0
586.9,67.0,67.0,0.0,0.0,0.0
588.0,67.0,67.0,0.0,0.0,0.0
589.0,67.0,67.0,0.0,0.0,0.0
590.1,67.0,67.0,0.0,0.0,0.0
591.1,67.0,67.0,0.0,0.0,0.0
592.2,67.0,67.0,0.0,0.0,0.0
593.3,67.0,67.0,0.0,0.0,0.0
594.3,67.0,67.0,0.0,0.0,0.0
595.4,67.0,67.0,0.0,0.0,0.0
596.4,67.0,67.0,0.0,0.0,0.0
597.5,67.0,67.0,0.0,0.0,0.0
598.6,67.0,67.0,0.0,0.0,0.0
599.6,67.0,67.0,0.0,0.0,0.0
600.7,67.0,67.0,0.0,0.0,0.0
601.7,67.0,67.0,0.0,0.0,0.0
602.8,67.0,67.0,0.0,0.0,0.0
603.9,67.0,67.0,0.0,0.0,0.0
604.9,67.0,67.0,0.0,0.0,0.0
606.0,67.0,67.0,0.0,0.0,0.0
607.0,67.0,67.0,0.0,0.0,0.0
608.1,67.0,67.0,0.0,0.0,0.0
609.2,67.0,67.0,0.0,0.0,0.0
610.2,67.0,67.0,0.0,0.0,0.0
611.3,67.0,67.0,0.0,0.0,0.0
